Server : 240e:c3:4000:4::dca9:9823:443 <-> Client : 2001:da8:201d:1109::1321:12703 
Server -> Client Num: 99, SEQ: 82853, ACK: 1267 A 
Server -> Client Num: 100, SEQ: 84213, ACK: 1267 A 
Server -> Client Num: 101, SEQ: 85573, ACK: 1267 A 
Server -> Client Num: 102, SEQ: 86933, ACK: 1267 A 
Server -> Client Num: 103, SEQ: 88293, ACK: 1267 A 
Server -> Client Num: 104, SEQ: 89653, ACK: 1267 A 
Server -> Client Num: 105, SEQ: 91013, ACK: 1267 A 
Server -> Client Num: 106, SEQ: 92373, ACK: 1267 A 
Server -> Client Num: 107, SEQ: 93733, ACK: 1267 A 
Server -> Client Num: 108, SEQ: 95093, ACK: 1267 A 
Server -> Client Num: 109, SEQ: 96453, ACK: 1267 A 
Server -> Client Num: 110, SEQ: 97813, ACK: 1267 A 
Server -> Client Num: 111, SEQ: 99173, ACK: 1267 A 
Server -> Client Num: 112, SEQ: 100533, ACK: 1267 A 
Client -> Server Num: 113, SEQ: 1267, ACK: 101893 A 
Server -> Client Num: 114, SEQ: 101893, ACK: 1267 A 
Server -> Client Num: 115, SEQ: 103253, ACK: 1267 A 
Server -> Client Num: 116, SEQ: 104613, ACK: 1267 A 
Client -> Server Num: 117, SEQ: 1267, ACK: 105973 A 
Server -> Client Num: 118, SEQ: 105973, ACK: 1267 A 
Server -> Client Num: 119, SEQ: 107333, ACK: 1267 A 
Client -> Server Num: 120, SEQ: 1267, ACK: 108693 A 
Server -> Client Num: 121, SEQ: 108693, ACK: 1267 A 
Server -> Client Num: 122, SEQ: 110053, ACK: 1267 A 
Server -> Client Num: 123, SEQ: 111413, ACK: 1267 A 
Server -> Client Num: 124, SEQ: 112773, ACK: 1267 A 
Client -> Server Num: 125, SEQ: 1267, ACK: 114133 A 
Server -> Client Num: 126, SEQ: 114133, ACK: 1267 A 
Client -> Server Num: 127, SEQ: 1267, ACK: 115493 A 
Server -> Client Num: 128, SEQ: 115493, ACK: 1267 A 
Server -> Client Num: 129, SEQ: 116853, ACK: 1267 A 
Client -> Server Num: 130, SEQ: 1267, ACK: 118213 A 
Server -> Client Num: 131, SEQ: 118213, ACK: 1267 A 
Server -> Client Num: 132, SEQ: 119573, ACK: 1267 A 
Server -> Client Num: 133, SEQ: 120933, ACK: 1267 A 
Client -> Server Num: 134, SEQ: 1267, ACK: 122293 A 
Server -> Client Num: 135, SEQ: 122293, ACK: 1267 A 
Server -> Client Num: 136, SEQ: 123653, ACK: 1267 A 
Client -> Server Num: 137, SEQ: 1267, ACK: 125013 A 
Server -> Client Num: 138, SEQ: 125013, ACK: 1267 A 
Server -> Client Num: 139, SEQ: 126373, ACK: 1267 A 
Client -> Server Num: 140, SEQ: 1267, ACK: 127733 A 
Server -> Client Num: 141, SEQ: 127733, ACK: 1267 A 
Server -> Client Num: 142, SEQ: 129093, ACK: 1267 A 
Client -> Server Num: 143, SEQ: 1267, ACK: 130453 A 
Server -> Client Num: 144, SEQ: 130453, ACK: 1267 A 
Server -> Client Num: 145, SEQ: 131813, ACK: 1267 A 
Client -> Server Num: 146, SEQ: 1267, ACK: 133173 A 
Server -> Client Num: 147, SEQ: 133173, ACK: 1267 A 
Server -> Client Num: 148, SEQ: 134533, ACK: 1267 A 
Client -> Server Num: 149, SEQ: 1267, ACK: 135893 A 
Server -> Client Num: 150, SEQ: 135893, ACK: 1267 A 
Server -> Client Num: 151, SEQ: 137253, ACK: 1267 A 
Server -> Client Num: 152, SEQ: 138613, ACK: 1267 A 
Server -> Client Num: 153, SEQ: 139973, ACK: 1267 A 
Client -> Server Num: 154, SEQ: 1267, ACK: 141333 A 
Server -> Client Num: 155, SEQ: 141333, ACK: 1267 A 
Server -> Client Num: 156, SEQ: 142693, ACK: 1267 A 
Client -> Server Num: 157, SEQ: 1267, ACK: 144053 A 
Server -> Client Num: 158, SEQ: 144053, ACK: 1267 A 
Client -> Server Num: 159, SEQ: 1267, ACK: 145413 A 
Server -> Client Num: 160, SEQ: 145413, ACK: 1267 A 
Server -> Client Num: 161, SEQ: 146773, ACK: 1267 A 
Server -> Client Num: 162, SEQ: 148133, ACK: 1267 A 
Client -> Server Num: 163, SEQ: 1267, ACK: 149493 A 
Server -> Client Num: 164, SEQ: 149493, ACK: 1267 A 
Server -> Client Num: 165, SEQ: 150853, ACK: 1267 A 
Client -> Server Num: 166, SEQ: 1267, ACK: 152213 A 
Server -> Client Num: 167, SEQ: 152213, ACK: 1267 A 
Client -> Server Num: 168, SEQ: 1267, ACK: 153573 A 
Client -> Server Num: 169, SEQ: 1267, ACK: 153573 PA 
Client -> Server Num: 170, SEQ: 1366, ACK: 153573 PA 
Client -> Server Num: 171, SEQ: 1465, ACK: 153573 PA 
Client -> Server Num: 172, SEQ: 1563, ACK: 153573 PA 
Client -> Server Num: 173, SEQ: 1660, ACK: 153573 PA 
Client -> Server Num: 174, SEQ: 1773, ACK: 153573 PA 
Server -> Client Num: 175, SEQ: 153573, ACK: 1267 A 
Server -> Client Num: 176, SEQ: 154933, ACK: 1267 A 
Server -> Client Num: 177, SEQ: 156293, ACK: 1267 A 
Server -> Client Num: 178, SEQ: 157653, ACK: 1267 A 
Server -> Client Num: 179, SEQ: 159013, ACK: 1267 A 
Server -> Client Num: 180, SEQ: 160373, ACK: 1267 A 
Server -> Client Num: 181, SEQ: 161733, ACK: 1267 A 
Server -> Client Num: 182, SEQ: 163093, ACK: 1267 A 
Server -> Client Num: 183, SEQ: 164453, ACK: 1267 A 
Server -> Client Num: 184, SEQ: 165813, ACK: 1267 A 
Server -> Client Num: 185, SEQ: 167173, ACK: 1267 A 
Server -> Client Num: 186, SEQ: 168533, ACK: 1267 A 
Server -> Client Num: 187, SEQ: 169893, ACK: 1267 A 
Server -> Client Num: 188, SEQ: 171253, ACK: 1267 A 
Server -> Client Num: 189, SEQ: 172613, ACK: 1267 A 
Server -> Client Num: 190, SEQ: 173973, ACK: 1267 A 
Server -> Client Num: 191, SEQ: 175333, ACK: 1267 A 
Server -> Client Num: 192, SEQ: 176693, ACK: 1267 A 
Server -> Client Num: 193, SEQ: 178053, ACK: 1267 A 
Server -> Client Num: 194, SEQ: 179413, ACK: 1267 A 
Server -> Client Num: 195, SEQ: 180773, ACK: 1267 A 
